Id,Brand,Model,Year,Grade SAE (all-season),Oil Type,Recommended Brand
LB-149,Honda,Accord(7th Gen),2004,"15W-40,10W-40,25W-41","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-150,Honda,Accord(7th Gen),2005,"15W-40,10W-40,25W-42","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-151,Honda,Accord(7th Gen),2006,"15W-40,10W-40,25W-43","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-152,Honda,Accord(7th Gen),2007,"15W-40,10W-40,25W-44",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-153,Honda,Accord(7th Gen),2008,"15W-40,10W-40,25W-45",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-154,Honda,Accord(8th Gen),2009,"15W-40,10W-40,25W-46",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-155,Honda,Accord(8th Gen),2010,"15W-40,10W-40,25W-47",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-156,Honda,Accord(8th Gen),2011,"15W-40,10W-40,25W-48",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-157,Honda,Accord(8th Gen),2012,"15W-40,10W-40,25W-49","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-158,Honda,Accord(8th Gen),2013,"15W-40,10W-40,25W-50","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-159,Honda,Accord(8th Gen),2014,"15W-40,10W-40,25W-51","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-160,Honda,Accord(9th Gen),2015,"15W-40,10W-40,25W-52",semisynthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-161,Honda,Accord(9th Gen),2016,"15W-40,10W-40,25W-53",semisynthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-162,Honda,Accord(9th Gen),2017,"15W-40,10W-40,25W-54",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-163,Honda,Accord(9th Gen),2018,"15W-40,10W-40,25W-55",only synthetics,"SHELL, Castrol, Mobil"
LB-164,Honda,Accord(9th Gen),2019,"15W-40,10W-40,25W-56",only synthetics,"SHELL, Castrol, Mobil"
LB-165,Honda,Civic(4th Gen),1987,"10W-30,10W-30,25W-30","mineral, hydrocracking","Valucraft, Pentosin, Lucas Oil, Valvoline, Exxon, Royal Purple"
LB-166,Honda,Civic(4th Gen),1988,"10W-30,10W-30,25W-30","mineral, hydrocracking","Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple"
LB-167,Honda,Civic(4th Gen),1989,"10W-30,10W-30,25W-30","mineral, hydrocracking","Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-168,Honda,Civic(4th Gen),1990,"15W-30,10W-30,25W-30","mineral, hydrocracking","Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-169,Honda,Civic(4th Gen),1991,"15W-40,10W-30,25W-30","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-170,Honda,Civic(4th Gen),1992,"15W-40,5W-30,25W-30","mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Mannol, Chevron,"
LB-171,Honda,Civic(4th Gen),1993,"15W-40,5W-30,25W-30","mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-172,Honda,Civic(4th Gen),1994,"15W-40,5W-30,25W-30","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol"
LB-173,Honda,Civic(4th Gen),1995,"15W-40,5W-30,25W-30","semisynthetics, mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Ecopower"
LB-174,Honda,Civic(4th Gen),1996,"15W-40,5W-30,25W-30","semisynthetics, mineral, hydrocracking","Mobil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-175,Honda,Civic(5th Gen),1991,"15W-40,10W-30,25W-30","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol, Chevron, Total, Kendall"
LB-176,Honda,Civic(5th Gen),1992,"15W-40,10W-30,25W-30","mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Mannol, Chevron,"
LB-177,Honda,Civic(5th Gen),1993,"15W-40,10W-30,25W-30","mineral, hydrocracking","Valucraft, Pentosin, Lucas Oil, Valvoline, Exxon, Royal Purple"
LB-178,Honda,Civic(5th Gen),1994,"15W-40,10W-30,25W-30","mineral, hydrocracking","Mobil, Kixx, Exxon, Royal Purple, Mannol"
LB-179,Honda,Civic(5th Gen),1995,"15W-40,10W-30,25W-30","semisynthetics, mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Ecopower"
LB-180,Honda,Civic(5th Gen),1996,"15W-40,10W-30,25W-30","semisynthetics, mineral, hydrocracking","Mobil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-181,Honda,Civic(5th Gen),1997,"15W-40,10W-30,25W-30","semisynthetics, mineral, hydrocracking","Kixx, Exxon, Royal Purple, Ecopower"
LB-182,Honda,Civic(6th Gen),1995,"15W-40,5W-30,25W-30","semisynthetics, mineral, hydrocracking","Motorex, Kixx, Exxon, Royal Purple, Ecopower"
LB-183,Honda,Civic(6th Gen),1996,"15W-40,5W-30,25W-30","semisynthetics, mineral, hydrocracking","Mobil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-184,Honda,Civic(6th Gen),1997,"15W-40,5W-30,25W-30","semisynthetics, mineral, hydrocracking","Kixx, Exxon, Royal Purple, Ecopower"
LB-185,Honda,Civic(6th Gen),1998,"15W-40,5W-30,25W-30","semisynthetics, mineral, hydrocracking","Mobil, Valvoline, Kixx, Exxon, Ecopower"
LB-186,Honda,Civic(6th Gen),1999,"15W-40,5W-30,25W-30","semisynthetics, mineral, hydrocracking","Valvoline, Kixx, Exxon, Royal Purple, Ecopower"
LB-187,Honda,Civic(6th Gen),2000,"15W-40,5W-30,25W-30","semisynthetics, mineral, hydrocracking","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-188,Honda,Civic(6th Gen),2001,"15W-40,5W-30,25W-40","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-189,Honda,Civic(7th Gen),2000,"15W-30,5W-30,25W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-190,Honda,Civic(7th Gen),2001,"15W-30,5W-30,25W-30","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-191,Honda,Civic(7th Gen),2002,"15W-30,5W-30,25W-30","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-192,Honda,Civic(7th Gen),2003,"15W-30,5W-30,25W-30","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-193,Honda,Civic(7th Gen),2004,"15W-30,5W-30,25W-30","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-194,Honda,Civic(7th Gen),2005,"15W-30,5W-30,25W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-195,Honda,Civic(8th Gen),2005,"05W-40,0W-30,25W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-196,Honda,Civic(8th Gen),2006,"05W-40,5W-40,25W-40","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-197,Honda,Civic(8th Gen),2007,"05W-40,5W-40,25W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-198,Honda,Civic(8th Gen),2008,"05W-40,0W-40,25W-40","semisynthetics, mineral","Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-199,Honda,Civic(8th Gen),2009,"15W-40,5W-40,25W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-200,Honda,Civic(8th Gen),2010,"15W-40,5W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-201,Honda,Civic(8th Gen),2011,"15W-40,0W-40,25W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-202,Honda,Civic(8th Gen),2012,"15W-40,5W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-203,Honda,Civic(8th Gen),2013,"15W-40,0W-40,25W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-204,Honda,Civic(8th Gen),2014,"15W-40,5W-40,25W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-205,Honda,Civic(9th Gen),2012,"15W-40,5W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-206,Honda,Civic(9th Gen),2013,"15W-40,0W-30,25W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-207,Honda,Civic(9th Gen),2014,"15W-40,5W-40,25W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-208,Honda,Civic(9th Gen),2015,"15W-40,5W-40,25W-50","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-209,Honda,Civic(9th Gen),2016,"15W-40,5W-40,25W-50",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-210,Honda,Civic(9th Gen),2017,"15W-50,0W-40,25W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-211,Honda,Civic(9th Gen),2018,"15W-50,0W-40,25W-50",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-212,Honda,Civic(10th Gen),2015,"15W-40,5W-50,25W-50","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-213,Honda,Civic(10th Gen),2016,"15W-40,5W-40,25W-50",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-214,Nissan,safari,2001,"10W-30,10W-40,15W-40,15W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-215,Nissan,safari,2002,"10W-30,10W-40,15W-30","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-216,Nissan,safari,2003,"10W-40,10W-40,15W-30","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-217,Nissan,safari,2004,"10W-30,10W-40,15W-40,15W-30","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-218,Nissan,safari,2005,"10W-30,10W-40,15W-40,15W-30","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-219,Nissan,safari,2006,"10W-40,5W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-220,Nissan,safari,2007,"15W-40,10W-40,5W-40","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-221,Nissan,x-trail,2011,"10W-40,15W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-222,Nissan,x-trail,2013,"10W-40,15W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-223,Nissan,x-trail,2014,15W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-224,Nissan,x-trail,2016,"10W-40,10W-50,15W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-225,Nissan,x-trail,2017,"10W-50,15W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-226,Nissan,x-trail,2018,"10W-50,15W-50","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-227,Nissan,x-trail,2019,"10W-50,15W-50",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-228,Nissan,x-trail,2020,10W-50,synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-229,Nissan,x-trail,2021,"10W-50,15W-60",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-230,Nissan,sunny,2003,"10W-40,15W-40,15W-30","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-231,Nissan,sunny,2004,"10W-30,10W-40,15W-40,15W-30","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-232,Nissan,sunny,2005,"10W-30,10W-40,15W-40,15W-30","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-233,Nissan,sunny,2006,"10W-40,5W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-234,Nissan,sunny,2007,"15W-40,10w-40,5W-40","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-235,Nissan,sunny,2008,"10W-40,5W-40",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-236,Nissan,sunny,2009,10w-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-237,Nissan,sunny,2011,"10W-40,15W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-238,Nissan,sunny,2012,"10W-40,15W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-239,Nissan,sunny,2013,15W-40,semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-240,Nissan,sunny,2014,"10W-40,15W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-241,Nissan,sunny,2015,"10W-40,15W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-242,Nissan,sunny,2016,"10W-40,10W-50,15W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-243,Nissan,sunny,2017,"10W-50,15W-40",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-244,Nissan,sunny,2018,"10W-50,15W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-245,Nissan,sunny,2019,"10W-50,15W-50",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-246,Nissan,sunny,2020,10W-50,only synthetics,"SHELL, Castrol, Mobil"
LB-247,Hyundai ,Santa Fe Sport ,2013,"5W-20, 5W-30",synthetic,AMSOIL 
LB-248,Hyundai ,Santa Fe Sport ,2014,"5W-20, 5W-30",synthetic,Mobil 1
LB-249,Hyundai ,Santa Fe Sport ,2015,"5W-20, 5W-30",synthetic,Mobil 1
LB-250,Hyundai ,Santa Fe Sport ,2016,"5W-20, 5W-30",synthetic,AMSOIL
LB-251,Hyundai ,Santa Fe Sport ,2017,"5W-20, 5W-30",synthetic,AMSOIL
LB-252,Hyundai ,Santa Fe Sport ,2018,"5W-20, 5W-30",synthetic,AMSOIL
LB-253,Hyundai ,Tucson ( 1st Gen ),2005,"5W-20, 5W-30","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-254,Hyundai ,Tucson ( 1st Gen ),2006,"5W-20, 5W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-255,Hyundai ,Tucson ( 1st Gen ),2007,"5W-20, 5W-30","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-256,Hyundai ,Tucson ( 1st Gen ),2008,"5W-20, 5W-30",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-257,Hyundai ,Tucson ( 1st Gen ),2009,"5W-20, 5W-30",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-258,Hyundai ,Tucson ( 2nd Gen ),2010,"10W-40, 5W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-259,Hyundai ,Tucson ( 2nd Gen ),2011,"10W-40, 5W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Manno"
LB-260,Hyundai ,Tucson ( 2nd Gen ),2012,"10W-40, 5W-40, 20W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-261,Hyundai ,Tucson ( 2nd Gen ),2013,"10W-40, 5W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-262,Hyundai ,Tucson ( 2nd Gen ),2014,"10W-40, 5W-40, 20W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-263,Hyundai ,Tucson ( 2nd Gen ),2015,"10W-40,15W-40,5W-40,20W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-264,Hyundai ,Tucson ( 3rd Gen ),2016,"10W-40,10W-50,15W-40,5W-40,0W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-265,Hyundai ,Tucson ( 3rd Gen ),2017,"20W-40,25W-50,0W-40,5W-50,10W-50
,15W-40,5W-40",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-266,Hyundai ,Tucson ( 3rd Gen ),2018,"10W-50,15W-40,15W-50,0W-40,0W-50,
25W-50,20W-40",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-267,Hyundai ,Tucson ( 3rd Gen ),2019,"10W-50,15W-40,15W-50,0W-40,0W-50,
25W-50,20W-40",synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-268,Hyundai ,Tucson ( 3rd Gen ),2020,"5W-50,10W-50,0W-50,15W-50,20W-50",synthetics,"SHELL, Castrol, Mobil"
LB-269,Hyundai ,Tucson ( 3rd Gen ),2021,"5W-50,10W-60,0W-50,0W-60,15W-50,
15W-60",synthetics,"SHELL, Castrol, Mobil"
LB-270,Hyundai ,Accent ,2000,"10W-30,15W-30 5W-30,20W-30","semisynthetics, mineral","Valvoline, Kixx, Exxon, Royal Purple, Ecopower"
LB-271,Hyundai ,Accent ,2001,"10W-30,15W-30 5W-30,20W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-272,Hyundai ,Accent ,2002,"10W-30,15W-30 5W-30,20W-30","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-273,Hyundai ,Accent ,2003,"10W-30,15W-30 5W-30,20W-30","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-274,Hyundai ,Accent ,2004,"10W-30,15W-30 5W-30,20W-30","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-275,Hyundai ,Accent ,2005,"10W-30,15W-30 5W-30,20W-30","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-276,Hyundai ,Accent ,2006,"10W-30,15W-30 5W-30,20W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-277,Hyundai ,Accent ,2007,"15W-40,5W-40,25W-30","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-278,Hyundai ,Accent ,2008,"10W-40,5W-40,0W-30,20W-40,25W-30",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-279,Hyundai ,Accent ,2009,"10W-40,5W-40,0W-30,20W-40,25W-30",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-280,Hyundai ,Accent ,2010,"10W-40,5W-40,0W-30,20W-40,25W-30",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-281,Hyundai ,Accent ,2011,"15W-40,5W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-282,Hyundai ,Accent ,2012,"10W-40,0W-40,25W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-283,Hyundai ,Accent ,2013,"15W-40,5W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-284,Hyundai ,Accent ,2014,"15W-40,0W-30,25W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-285,Hyundai ,Accent ,2015,"15W-40,5W-40,25W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-286,Hyundai ,Accent ,2016,"15W-40,5W-50,25W-50","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-287,Hyundai ,Accent ,2017,"15W-40,0W-50,25W-50",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-288,Hyundai ,Accent ,2018,"15W-40,5W-50,25W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-289,Hyundai ,Accent ,2019,"15W-40,5W-50,25W-50",synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-290,Hyundai ,Accent ,2020,"15W-40,5W-50,25W-50",synthetics,"SHELL, Castrol, Mobil"
LB-291,Hyundai ,Elantra,2006,"10W-40, 5W-40, 20W-40, 25W-40","semisynthetics, mineral	","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-292,Hyundai ,Elantra,2007,"10W-40, 5W-40, 20W-40, 25W-40","semisynthetics, mineral	","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-293,Hyundai ,Elantra,2008,"10W-40, 5W-40, 20W-40, 25W-40",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
