Id,Brand,Model,Year,Grade SAE (all-season),Oil Type,Recommended Brand
LB-294,Hyundai ,Elantra,2009,"10W-40, 0W-40, 20W-40, 25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-295,Hyundai ,Elantra,2010,"10W-40, 5W-40, 20W-40, 25W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-296,Hyundai ,Elantra,2011,"10W-40, 5W-40, 20W-40, 25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-297,Hyundai ,Elantra,2012,"15W-40, 5W-40, 20W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-298,Hyundai ,Elantra,2013,"15W-40, 5W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-299,Hyundai ,Elantra,2014,"15W-40, 5W-40, 20W-40","synthetics, semisynthetics	","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-300,Hyundai ,Elantra,2015,"15W-40, 5W-40, 20W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-301,Hyundai ,Elantra,2016,"15W-40, 5W-40, 20W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-302,Hyundai ,Elantra,2017,"5W-40, 0W-40, 25W-50",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-303,Hyundai ,Elantra,2018,"15W-40, 0W-40, 25W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-304,Hyundai ,Elantra,2019,"15W-50, 0W-50, 25W-50",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-305,Hyundai ,Elantra,2020,"15W-50, 0W-50, 25W-50",only synthetics,"SHELL, Castrol, Mobil"
LB-306,Hyundai ,Elantra,2021,"15W-50, 0W-50, 25W-50",only synthetics,"SHELL, Castrol, Mobil"
LB-307,Jeep,Wrangler,2000,"10W-40, 5W-40, 25W-30","semisynthetics, mineral","Valvoline, Kixx, Exxon, Royal Purple, Ecopower"
LB-308,Jeep,Wrangler,2001,"10W-30, 5W-30, 20W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Mannol"
LB-309,Jeep,Wrangler,2002,"10W-30, 5W-30, 20W-40","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-310,Jeep,Wrangler,2003,"10W-40, 5W-30, 20W-40","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-311,Jeep,Wrangler,2004,"10W-30, 5W-30, 20W-40","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-312,Jeep,Wrangler,2005,"10W-30, 5W-30, 20W-40","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-313,Jeep,Wrangler,2006,"10W-40, 10W-40, 20W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-314,Jeep,Wrangler,2007,"10W-40, 10W-40, 20W-40","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-315,Jeep,Wrangler,2008,"10W-40, 10W-40, 20W-40",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-316,Jeep,Wrangler,2009,"10W-40, 10W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-317,Jeep,Wrangler,2010,"10W-40, 10W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-318,Jeep,Wrangler,2011,"10W-40, 10W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-319,Jeep,Wrangler,2012,"15W-40, 0W-40, 25W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-320,Jeep,Wrangler,2013,"15W-40, 5W-40, 25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-321,Jeep,Wrangler,2014,"15W-40, 25W-40, 0W-30","synthetics, semisynthetics	","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-322,Jeep,Wrangler,2015,"15W-40, 5W-40, 25W-40","synthetics, semisynthetics	","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-323,Jeep,Wrangler,2016,"15W-40, 5W-40, 25W-40","synthetics, semisynthetics	","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-324,Jeep,Wrangler,2017,"15W-40, 5W-40, 25W-40",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-325,Jeep,Wrangler,2018,"15W-40, 5W-40, 25W-40",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-326,Jeep,Wrangler,2019,"15W-40, 5W-40, 25W-40",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-327,Jeep,Wrangler,2020,"10W-50, 0W-50, 15W-50",only synthetics,"SHELL, Castrol, Mobil"
LB-328,Jeep,Wrangler,2021,"10W-60, 0W-60, 15W-60",only synthetics,"SHELL, Castrol, Mobil"
LB-329,Jeep,Liberty,2005,"10W-40, 5W-40, 20W-30","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-330,Jeep,Liberty,2006,"10W-40, 5W-40, 20W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-331,Jeep,Liberty,2007,"10W-40, 5W-40, 20W-30","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-332,Jeep,Liberty,2008,"5W-40, 0W-30,25W-40",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-333,Jeep,Liberty,2009,"10W-40, 0W-30,20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-334,Jeep,Liberty,2010,"15W-40, 5W-40,25W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-335,Jeep,Liberty,2011,"15W-40, 5W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-336,Jeep,Liberty,2012,"15W-40, 5W-40,25W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-337,Jeep,Liberty,2013,"15W-40, 5W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-338,Jeep,Liberty,2014,"15W-40, 5W-40,25W-40","semisynthetics, mineral","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-339,Mercedes-Benz,C class( 1st Gen ),2001,"10W-40, 5W-40, 25W-30","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-340,Mercedes-Benz,C class( 1st Gen ),2002,"15W-40, 5W-40, 25W-30","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-341,Mercedes-Benz,C class( 1st Gen ),2003,"15W-40,5W-40, 20W-30","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-342,Mercedes-Benz,C class( 1st Gen ),2004,"15W-40,5W-40, 20W-30","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-343,Mercedes-Benz,C class( 1st Gen ),2005,"15W-40,5W-40, 20W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-344,Mercedes-Benz,C class( 1st Gen ),2006,"15W-40,5W-40, 20W-30","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-345,Mercedes-Benz,C class( 1st Gen ),2007,"15W-40,5W-40, 20W-30","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-346,Mercedes-Benz,C class( 2nd Gen ),2008,"10W-40,5W-40, 20W-40",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-347,Mercedes-Benz,C class( 2nd Gen ),2009,"10W-40,5W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-348,Mercedes-Benz,C class( 2nd Gen ),2010,"10W-40,5W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-349,Mercedes-Benz,C class( 2nd Gen ),2011,"10W-40,5W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-350,Mercedes-Benz,C class( 2nd Gen ),2012,"10W-40,5W-40, 20W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-351,Mercedes-Benz,C class( 2nd Gen ),2013,"10W-40,5W-40, 20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-352,Mercedes-Benz,C class( 2nd Gen ),2014,"10W-40,5W-40, 20W-40","semisynthetics, mineral","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-353,Mercedes-Benz,C class( 3rdGen ),2015,"15W-40, 5W-40, 25W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-354,Mercedes-Benz,C class( 3rdGen ),2016,"15W-40, 5W-40, 25W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-355,Mercedes-Benz,C class( 3rdGen ),2017,"15W-40, 5W-40, 25W-40",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-356,Mercedes-Benz,C class( 3rdGen ),2018,"15W-40, 5W-40, 25W-40",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-357,Mercedes-Benz,C class( 3rdGen ),2019,"15W-40, 5W-40, 25W-40",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-358,Mercedes-Benz,C class( 3rdGen ),2020,"15W-40, 5W-40, 25W-40",only synthetics,"SHELL, Castrol, Mobil"
LB-359,Mercedes-Benz,S class ( 2nd Gen ),2007,"5W-40, 5W-30	, 25W-30","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-360,Mercedes-Benz,S class ( 2nd Gen ),2008,"10W-40, 5W-30, 25W-30",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-361,Mercedes-Benz,S class ( 2nd Gen ),2009,"10W-40, 5W-30, 25W-30",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-362,Mercedes-Benz,S class ( 2nd Gen ),2010,"10W-40, 5W-30, 25W-30",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-363,Mercedes-Benz,S class ( 2nd Gen ),2011,"10W-40, 5W-30, 25W-30",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-364,Mercedes-Benz,S class ( 2nd Gen ),2012,"10W-40, 5W-30, 25W-30",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-365,Mercedes-Benz,S class ( 2nd Gen ),2013,"10W-40, 5W-30, 25W-30",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-366,Mercedes-Benz,S class ( 3rdGen ),2014,"10W-40, 5W-30, 25W-30","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-367,Mercedes-Benz,S class ( 3rdGen ),2015,"10W-40, 5W-30, 25W-30","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-368,Mercedes-Benz,S class ( 3rdGen ),2016,"10W-40, 5W-30, 25W-30","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-369,Mercedes-Benz,S class ( 3rdGen ),2017,"10W-40, 5W-30, 25W-30",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-370,Mercedes-Benz,S class ( 3rdGen ),2018,"10W-40, 0W-30, 25W-40",only synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-371,Mercedes-Benz,S class ( 3rdGen ),2019,"10W-40, 0W-30, 25W-40",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-372,Mercedes-Benz,S class ( 3rdGen ),2020,"10W-40, 0W-30, 25W-40",only synthetics,"SHELL, Castrol, Mobil"
LB-373,Mercedes-Benz,E class ( 2nd Gen ),2002,"15W-30,5W-40,20W-40","semisynthetics, mineral","Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-374,Mercedes-Benz,E class ( 2nd Gen ),2003,"10W-40, 5W-30, 20W-40","semisynthetics, mineral","Pentosin, Lucas Oil, Valvoline, Select, Kixx, Exxon, Royal Purple, Mannol, Chevron"
LB-375,Mercedes-Benz,E class ( 2nd Gen ),2004,"10W-40, 5W-30, 20W-40","semisynthetics, mineral","Mobil, Royal Purple, Select, Mannol, Chevron"
LB-376,Mercedes-Benz,E class ( 2nd Gen ),2005,"10W-40, 5W-30, 20W-40","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-377,Mercedes-Benz,E class ( 2nd Gen ),2006,"10W-40, 5W-30, 20W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-378,Mercedes-Benz,E class ( 3rdGen ),2007,"15W-40, 0W-30,20W-30","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-379,Mercedes-Benz,E class ( 3rdGen ),2008,"15W-40, 0W-30,20W-30",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-380,Mercedes-Benz,E class ( 3rdGen ),2009,"15W-40, 0W-30,20W-30",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-381,Mercedes-Benz,E class ( 4thGen ),2010,"15W-40,5W-40, 25W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-382,Mercedes-Benz,E class ( 4thGen ),2011,"15W-40,5W-40, 25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-383,Mercedes-Benz,E class ( 4thGen ),2012,"15W-40,5W-40, 25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-384,Mercedes-Benz,E class ( 4thGen ),2013,"15W-40,5W-40, 25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-385,Mercedes-Benz,E class ( 4thGen ),2014,"15W-40,5W-40, 25W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-386,Mercedes-Benz,E class ( 4thGen ),2015,"15W-40,5W-40, 25W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-387,Mercedes-Benz,E class ( 4thGen ),2016,"15W-40,5W-40, 25W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-388,Mercedes-Benz,E class ( 5thGen ),2017,"15W-40,5W-40, 25W-40",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-389,Mercedes-Benz,E class ( 5thGen ),2018,"15W-50, 0W-50, 25W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-390,Mercedes-Benz,E class ( 5thGen ),2019,"15W-50, 0W-50, 25W-50",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-391,Mercedes-Benz,E class ( 5thGen ),2020,"15W-50, 0W-50, 25W-50",only synthetics,"SHELL, Castrol, Mobil"
LB-392,Suzuki,SX4,2006,"5W-40,10W-40,25W-40","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-393,Suzuki,SX4,2007,"5W-40,10W-40,25W-40","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-394,Suzuki,SX4,2008,"5W-40,10W-40,25W-40",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-395,Suzuki,SX4,2009,"5W-40,10W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-396,Suzuki,SX4,2010,"5W-40,10W-40,25W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-397,Suzuki,SX4,2011,"5W-40,10W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-398,Suzuki,SX4,2012,"5W-40,10W-40,25W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-399,Suzuki,SX4,2013,"5W-40,10W-40,25W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-400,Suzuki,Swift,2014,"5W-40,10W-40,25W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-401,Suzuki,Swift,2015,"5W-40,10W-40,25W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-402,Suzuki,Swift,2016,"5W-40,10W-40,25W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-403,Suzuki,Swift,2017,"5W-40,0W-40,25W-50",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-404,Suzuki,Swift,2018,"5W-40,0W-40,25W-50",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-405,Suzuki,Swift,2019,"5W-40,0W-40,25W-50",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-406,Suzuki,Swift,2020,"5W-40,0W-40,25W-50",only synthetics,"SHELL, Castrol, Mobil"
LB-407,Suzuki,Swift,2021,"5W-40,0W-40,25W-50",only synthetics,"SHELL, Castrol, Mobil"
LB-408,Suzuki,Alto,2005,"10W-40,5W-40,20W-30","semisynthetics, mineral","Mobil, Select, Mannol, Chevron"
LB-409,Suzuki,Alto,2006,"10W-40,5W-40,20W-30","semisynthetics, mineral","Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Select"
LB-410,Suzuki,Alto,2007,"10W-40,5W-40,20W-30","semisynthetics, mineral","Mobil, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-411,Suzuki,Alto,2008,"10W-40,5W-40,20W-30",semisynthetics,"Mobil, Pentosin, Lucas Oil, Valvoline, Royal Purple, Ecopower"
LB-412,Suzuki,Alto,2009,"10W-40,5W-40,20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-413,Suzuki,Alto,2010,"10W-40,5W-40,20W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-414,Suzuki,Alto,2011,"10W-40,5W-40,20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-415,Suzuki,Alto,2012,"10W-40,5W-40,20W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-416,Suzuki,Alto,2013,"10W-40,5W-40,20W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-417,Suzuki,Alto,2014,"10W-40,5W-40,20W-40",semisynthetics,"Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-418,Suzuki,Alto,2015,"10W-40,5W-40,20W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-419,Suzuki,Alto,2016,"10W-40,5W-40,20W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-420,Suzuki,Alto,2017,"10W-40,5W-40,20W-40",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-421,Suzuki,Alto,2018,"10W-40,5W-40,20W-40",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-422,Suzuki,Alto,2019,"10W-40,5W-40,20W-40",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-423,Suzuki,Alto,2020,"10W-40,5W-40,20W-40",only synthetics,"SHELL, Castrol, Mobil"
LB-424,Suzuki,Alto,2021,"10W-40,5W-40,20W-40",only synthetics,"SHELL, Castrol, Mobil"
LB-425,Suzuki,Wagon-r,2009,"5W-40,0W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-426,Suzuki,Wagon-r,2010,"5W-40,0W-40,25W-40",semisynthetics,"Mobil, Valucraft, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-427,Suzuki,Wagon-r,2011,"5W-40,0W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon, Royal Purple, Mannol"
LB-428,Suzuki,Wagon-r,2012,"5W-40,0W-40,25W-40",semisynthetics,"Mobil, Lucas Oil, Valvoline, Valucraft, Pentosin, Kixx, Exxon"
LB-429,Suzuki,Wagon-r,2013,"5W-40,0W-40,25W-40",semisynthetics,"Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx, Exxon"
LB-430,Suzuki,Wagon-r,2014,"5W-40,0W-40,25W-40","synthetics, semisynthetics","Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Kixx"
LB-431,Suzuki,Wagon-r,2015,"15W-40,0W-40,20W-40","synthetics, semisynthetics","Valucraft, Pentosin, Mobil, SHELL, Castrol, Lucas Oil, Valvoline, Motorex"
LB-432,Suzuki,Wagon-r,2016,"15W-40,0W-40,20W-40","synthetics, semisynthetics","SHELL, Castrol, Mobil, Valucraft, Pentosin, Lucas Oil, Valvoline, Motorex"
LB-433,Suzuki,Wagon-r,2017,"15W-40,0W-40,20W-40",synthetics,"Mobil, Castrol, SHELL, Valucraft, Valvoline, Lucas Oil, Pentosin, Motorex"
LB-434,Suzuki,Wagon-r,2018,"15W-40,0W-40,20W-40",synthetics,"Castrol, SHELL, Mobil, Valucraft, Pentosin"
LB-435,Suzuki,Wagon-r,2019,"15W-40,0W-40,20W-40",only synthetics,"SHELL, Mobil, Castrol, Valucraft"
LB-436,Suzuki,Wagon-r,2020,"15W-40,0W-40,20W-40",only synthetics,"SHELL, Castrol, Mobil"